trip_id,start_time,end_time,headway_secs,exact_times
ETUSA-34-dir1,19:00:00,19:10:00,2400,0
ETUSA-37-dir0,06:00:00,06:30:00,2400,0
ETUSA-37-dir0,06:30:00,09:30:00,1200,0
ETUSA-37-dir0,09:30:00,16:00:00,2400,0
ETUSA-37-dir0,16:00:00,18:40:00,1200,0
ETUSA-45-dir0,05:50:00,06:30:00,2400,0
ETUSA-45-dir0,06:30:00,09:30:00,1200,0
ETUSA-45-dir0,09:30:00,16:00:00,2400,0
ETUSA-45-dir0,16:00:00,19:00:00,1200,0
ETUSA-45-dir0,19:00:00,24:00:00,2400,0
ETUSA-45-dir1,05:50:00,06:30:00,2400,0
ETUSA-45-dir1,06:30:00,09:30:00,1200,0
ETUSA-45-dir1,09:30:00,16:00:00,2400,0
ETUSA-45-dir1,16:00:00,19:00:00,1200,0
ETUSA-45-dir1,19:00:00,24:00:00,2400,0
ETUSA-50-dir0,05:50:00,06:30:00,2400,0
ETUSA-50-dir0,06:30:00,09:30:00,1200,0
ETUSA-50-dir0,09:30:00,16:00:00,2400,0
ETUSA-50-dir0,16:00:00,18:30:00,1200,0
ETUSA-50-dir1,05:50:00,06:30:00,2400,0
ETUSA-50-dir1,06:30:00,09:30:00,1200,0
ETUSA-50-dir1,09:30:00,16:00:00,2400,0
ETUSA-50-dir1,16:00:00,18:30:00,1200,0
ETUSA-54-dir0,05:45:00,06:30:00,2400,0
ETUSA-54-dir0,06:30:00,09:30:00,1200,0
ETUSA-54-dir0,09:30:00,16:00:00,2400,0
ETUSA-54-dir0,16:00:00,19:00:00,1200,0
ETUSA-54-dir0,19:00:00,19:25:00,2400,0
ETUSA-54-dir1,05:45:00,06:30:00,2400,0
ETUSA-54-dir1,06:30:00,09:30:00,1200,0
ETUSA-54-dir1,09:30:00,16:00:00,2400,0
ETUSA-54-dir1,16:00:00,19:00:00,1200,0
ETUSA-54-dir1,19:00:00,19:25:00,2400,0
ETUSA-58-dir0,05:50:00,06:30:00,2400,0
ETUSA-58-dir0,06:30:00,09:30:00,1200,0
ETUSA-58-dir0,09:30:00,16:00:00,2400,0
ETUSA-58-dir0,16:00:00,19:00:00,1200,0
ETUSA-58-dir0,19:00:00,20:00:00,2400,0
ETUSA-58-dir1,05:50:00,06:30:00,2400,0
ETUSA-58-dir1,06:30:00,09:30:00,1200,0
ETUSA-58-dir1,09:30:00,16:00:00,2400,0
ETUSA-58-dir1,16:00:00,19:00:00,1200,0
ETUSA-58-dir1,19:00:00,20:00:00,2400,0
ETUSA-66-dir0,05:45:00,06:30:00,2400,0
ETUSA-66-dir0,06:30:00,09:30:00,1200,0
ETUSA-66-dir0,09:30:00,16:00:00,2400,0
ETUSA-66-dir0,16:00:00,19:00:00,1200,0
ETUSA-66-dir0,19:00:00,19:15:00,2400,0
ETUSA-66-dir1,05:45:00,06:30:00,2400,0
ETUSA-66-dir1,06:30:00,09:30:00,1200,0
ETUSA-66-dir1,09:30:00,16:00:00,2400,0
ETUSA-66-dir1,16:00:00,19:00:00,1200,0
ETUSA-66-dir1,19:00:00,19:15:00,2400,0
ETUSA-72-dir0,06:00:00,06:30:00,2400,0
ETUSA-72-dir0,06:30:00,09:30:00,1200,0
ETUSA-72-dir0,09:30:00,16:00:00,2400,0
ETUSA-72-dir0,16:00:00,19:00:00,1200,0
ETUSA-72-dir0,19:00:00,23:50:00,2400,0
ETUSA-72-dir1,06:00:00,06:30:00,2400,0
ETUSA-72-dir1,06:30:00,09:30:00,1200,0
ETUSA-72-dir1,09:30:00,16:00:00,2400,0
ETUSA-72-dir1,16:00:00,19:00:00,1200,0
ETUSA-72-dir1,19:00:00,23:50:00,2400,0
ETUSA-74-dir0,05:45:00,06:30:00,2400,0
ETUSA-74-dir0,06:30:00,09:30:00,1200,0
ETUSA-74-dir0,09:30:00,16:00:00,2400,0
ETUSA-74-dir0,16:00:00,18:00:00,1200,0
ETUSA-74-dir1,05:45:00,06:30:00,2400,0
ETUSA-74-dir1,06:30:00,09:30:00,1200,0
ETUSA-74-dir1,09:30:00,16:00:00,2400,0
ETUSA-74-dir1,16:00:00,18:00:00,1200,0
ETUSA-82-dir0,06:00:00,06:30:00,2400,0
ETUSA-82-dir0,06:30:00,09:30:00,1200,0
ETUSA-82-dir0,09:30:00,16:00:00,2400,0
ETUSA-82-dir0,16:00:00,18:30:00,1200,0
ETUSA-82-dir1,06:00:00,06:30:00,2400,0
ETUSA-82-dir1,06:30:00,09:30:00,1200,0
ETUSA-82-dir1,09:30:00,16:00:00,2400,0
ETUSA-82-dir1,16:00:00,18:30:00,1200,0
ETUSA-88-dir0,05:50:00,06:30:00,2400,0
ETUSA-88-dir0,06:30:00,09:30:00,1200,0
ETUSA-88-dir0,09:30:00,16:00:00,2400,0
ETUSA-88-dir0,16:00:00,19:00:00,1200,0
ETUSA-88-dir0,19:00:00,19:30:00,2400,0
ETUSA-88-dir1,05:50:00,06:30:00,2400,0
ETUSA-88-dir1,06:30:00,09:30:00,1200,0
ETUSA-88-dir1,09:30:00,16:00:00,2400,0
ETUSA-88-dir1,16:00:00,19:00:00,1200,0
ETUSA-88-dir1,19:00:00,19:30:00,2400,0
ETUSA-90-dir0,05:50:00,06:30:00,2400,0
ETUSA-90-dir0,06:30:00,09:30:00,1200,0
ETUSA-90-dir0,09:30:00,16:00:00,2400,0
ETUSA-90-dir0,16:00:00,19:00:00,1200,0
ETUSA-90-dir0,19:00:00,20:00:00,2400,0
ETUSA-90-dir1,05:50:00,06:30:00,2400,0
ETUSA-90-dir1,06:30:00,09:30:00,1200,0
ETUSA-90-dir1,09:30:00,16:00:00,2400,0
ETUSA-90-dir1,16:00:00,19:00:00,1200,0
ETUSA-90-dir1,19:00:00,20:00:00,2400,0
ETUSA-98-dir0,06:10:00,06:30:00,2400,0
ETUSA-98-dir0,06:30:00,09:30:00,1200,0
ETUSA-98-dir0,09:30:00,16:00:00,2400,0
ETUSA-98-dir0,16:00:00,18:15:00,1200,0
ETUSA-98-dir1,06:10:00,06:30:00,2400,0
ETUSA-98-dir1,06:30:00,09:30:00,1200,0
ETUSA-98-dir1,09:30:00,16:00:00,2400,0
ETUSA-98-dir1,16:00:00,18:15:00,1200,0
ETUSA-99-dir0,06:00:00,06:30:00,2400,0
ETUSA-99-dir0,06:30:00,09:30:00,1200,0
ETUSA-99-dir0,09:30:00,16:00:00,2400,0
ETUSA-99-dir0,16:00:00,18:40:00,1200,0
ETUSA-100-dir0,05:45:00,06:30:00,3600,0
ETUSA-100-dir0,06:30:00,09:30:00,3600,0
ETUSA-100-dir0,09:30:00,16:00:00,3600,0
ETUSA-100-dir0,16:00:00,19:00:00,3600,0
ETUSA-100-dir0,19:00:00,24:00:00,3600,0
ETUSA-100-dir1,05:45:00,06:30:00,3600,0
ETUSA-100-dir1,06:30:00,09:30:00,3600,0
ETUSA-100-dir1,09:30:00,16:00:00,3600,0
ETUSA-100-dir1,16:00:00,19:00:00,3600,0
ETUSA-100-dir1,19:00:00,24:00:00,3600,0
ETUSA-101-dir0,06:10:00,06:30:00,2400,0
ETUSA-101-dir0,06:30:00,09:30:00,1200,0
ETUSA-101-dir0,09:30:00,16:00:00,2400,0
ETUSA-101-dir0,16:00:00,19:00:00,1200,0
ETUSA-101-dir0,19:00:00,23:30:00,2400,0
ETUSA-105-dir0,05:25:00,06:30:00,2400,0
ETUSA-105-dir0,06:30:00,09:30:00,1200,0
ETUSA-105-dir0,09:30:00,16:00:00,2400,0
ETUSA-105-dir0,16:00:00,19:00:00,1200,0
ETUSA-105-dir0,19:00:00,19:20:00,2400,0
ETUSA-113-dir0,04:45:00,06:30:00,2400,0
ETUSA-113-dir0,06:30:00,09:30:00,1200,0
ETUSA-113-dir0,09:30:00,16:00:00,2400,0
ETUSA-113-dir0,16:00:00,19:00:00,1200,0
ETUSA-113-dir0,19:00:00,24:10:00,2400,0
ETUSA-113-dir1,04:45:00,06:30:00,2400,0
ETUSA-113-dir1,06:30:00,09:30:00,1200,0
ETUSA-113-dir1,09:30:00,16:00:00,2400,0
ETUSA-113-dir1,16:00:00,19:00:00,1200,0
ETUSA-113-dir1,19:00:00,24:10:00,2400,0
